project	det_plate
CAL	CAL195_XC.L10_24H_X1_B26
CAL	CAL182_XC.L10_24H_X2_B26
CAL	CAL003_XC.L10_24H_X1_B24
CAL	CAL238_XC.L10_24H_X3_B26
CAL	CAL173_XC.L10_24H_X1_B26
CAL	CAL026_XC.L10_24H_X3_B24
CAL	CAL125_XC.L10_24H_X2_B25
CAL	CAL126_XC.L10_24H_X3_B25
CAL	CAL112_XC.L10_24H_X1_B26
CAL	CAL084_XC.L10_24H_X3_B25
CAL	CAL149_XC.L10_24H_X1_B25
CAL	CAL233_XC.L10_24H_X3_B26
CAL	CAL151_XC.L10_24H_X3_B25
CAL	CAL173_XC.L10_24H_X3_B26
CAL	CAL197_XC.L10_24H_X3_B26
CAL	CAL045_XC.L10_24H_X2_B24
CAL	CAL039_XC.L10_24H_X3_B24
CAL	CAL036_XC.L10_24H_X3_B24
CAL	CAL165_XC.L10_24H_X1_B26
CAL	CAL168_XC.L10_24H_X1_B26
CAL	CAL048_XC.L10_24H_X3_B24
CAL	CAL061_XC.L10_24H_X2_B24
CAL	CAL178_XC.L10_24H_X2_B26
CAL	CAL155_XC.L10_24H_X3_B26
CAL	CAL101_XC.L10_24H_X2_B26
CAL	CAL156_XC.L10_24H_X1_B26
CAL	CAL093_XC.L10_24H_X3_B25
CAL	CAL206_XC.L10_24H_X3_B26
CAL	CAL145_XC.L10_24H_X3_B25
CAL	CAL075_XC.L10_24H_X2_B24
CAL	CAL091_XC.L10_24H_X1_B25
CAL	CAL248_XC.L10_24H_X3_B26
CAL	CAL175_XC.L10_24H_X3_B26
CAL	CAL128_XC.L10_24H_X2_B25
CAL	CAL137_XC.L10_24H_X2_B25
CAL	CAL070_XC.L10_24H_X1_B24
CAL	CAL063_XC.L10_24H_X2_B24
CAL	CAL249_XC.L10_24H_X2_B26
CAL	CAL002_XC.L10_24H_X1_B24
CAL	CAL004_XC.L10_24H_X1_B24
CAL	CAL167_XC.L10_24H_X3_B26
CAL	CAL148_XC.L10_24H_X3_B25
CAL	CAL098_XC.L10_24H_X2_B26
CAL	CAL076_XC.L10_24H_X2_B24
CAL	CAL181_XC.L10_24H_X3_B26
CAL	CAL181_XC.L10_24H_X2_B26
CAL	CAL141_XC.L10_24H_X2_B25
CAL	CAL163_XC.L10_24H_X1_B26
CAL	CAL198_XC.L10_24H_X1_B26
CAL	CAL129_XC.L10_24H_X1_B25
CAL	CAL111_XC.L10_24H_X3_B26
CAL	CAL126_XC.L10_24H_X2_B25
CAL	CAL040_XC.L10_24H_X2_B24
CAL	CAL041_XC.L10_24H_X3_B24
CAL	CAL158_XC.L10_24H_X3_B26
CAL	CAL168_XC.L10_24H_X2_B26
CAL	CAL124_XC.L10_24H_X3_B26
CAL	CAL177_XC.L10_24H_X3_B26
CAL	CAL021_XC.L10_24H_X2.A2_B24
CAL	CAL123_XC.L10_24H_X2_B26
CAL	CAL142_XC.L10_24H_X2_B25
CAL	CAL131_XC.L10_24H_X2_B25
CAL	CAL174_XC.L10_24H_X2_B26
CAL	CAL044_XC.L10_24H_X2_B24
CAL	CAL027_XC.L10_24H_X3_B24
CAL	CAL038_XC.L10_24H_X1_B24
CAL	CAL203_XC.L10_24H_X2_B26
CAL	CAL097_XC.L10_24H_X2_B26
CAL	CAL161_XC.L10_24H_X2_B26
CAL	CAL089_XC.L10_24H_X1_B25
CAL	CAL217_XC.L10_24H_X2_B26
CAL	CAL096_XC.L10_24H_X3_B26
CAL	CAL011_XC.L10_24H_X2_B24
CAL	CAL253_XC.L10_24H_X3_B26
CAL	CAL251_XC.L10_24H_X3_B26
CAL	CAL041_XC.L10_24H_X2_B24
CAL	CAL060_XC.L10_24H_X2_B24
CAL	CAL249_XC.L10_24H_X1_B26
CAL	CAL210_XC.L10_24H_X2_B27
CAL	CAL089_XC.L10_24H_X3_B25
CAL	CAL215_XC.L10_24H_X2_B26
CAL	CAL190_XC.L10_24H_X1_B26
CAL	CAL218_XC.L10_24H_X3_B26
CAL	CAL022_XC.L10_24H_X2_B24
CAL	CAL143_XC.L10_24H_X1_B25
CAL	CAL099_XC.L10_24H_X1_B26
CAL	CAL197_XC.L10_24H_X2_B26
CAL	CAL082_XC.L10_24H_X3_B25
CAL	CAL102_XC.L10_24H_X3_B26
CAL	CAL052_XC.L10_24H_X1_B24
CAL	CAL111_XC.L10_24H_X1_B26
CAL	CAL026_XC.L10_24H_X1_B24
CAL	CAL187_XC.L10_24H_X3_B26
CAL	CAL166_XC.L10_24H_X3_B26
CAL	CAL016_XC.L10_24H_X2_B24
CAL	CAL188_XC.L10_24H_X1_B26
CAL	CAL125_XC.L10_24H_X1_B25
CAL	CAL076_XC.L10_24H_X3_B24
CAL	CAL179_XC.L10_24H_X1_B26
CAL	CAL225_XC.L10_24H_X3_B26
CAL	CAL245_XC.L10_24H_X1_B26
CAL	CAL146_XC.L10_24H_X2_B25
CAL	CAL079_XC.L10_24H_X5_B25
CAL	CAL133_XC.L10_24H_X3_B25
CAL	CAL117_XC.L10_24H_X2_B26
CAL	CAL099_XC.L10_24H_X3_B26
CAL	CAL202_XC.L10_24H_X1_B27
CAL	CAL086_XC.L10_24H_X3_B25
CAL	CAL234_XC.L10_24H_X2_B26
CAL	CAL144_XC.L10_24H_X3_B25
CAL	CAL210_XC.L10_24H_X1_B26
CAL	CAL120_XC.L10_24H_X2_B26
CAL	CAL244_XC.L10_24H_X2_B26
