SAMPLE_NAME	PERT_TYPE	PERT_MFC_DESC	CCSCORE	DYN_RANGE	DYN_RANGE_MAX	SPAN	MED_INT	MED_GAPDH	INV_LEVEL_01	INV_LEVEL_02	INV_LEVEL_03	INV_LEVEL_04	INV_LEVEL_05	INV_LEVEL_06	INV_LEVEL_07	INV_LEVEL_08	INV_LEVEL_09	INV_LEVEL_10
316(1,L20)	TRT	TRT	0.947804	4	4	9	9.00	NA	3.00	4.00	5.00	5.00	5.00	6.00	6.00	5.50	7.00	12.00
317(1,M20)	TRT	TRT	0.937437	3.5	3.5	7.5	9.00	NA	3.00	4.00	5.00	5.00	5.00	5.00	5.00	6.00	8.00	10.50
318(1,N20)	TRT	TRT	0.895215	2.5	2.5	6	9.00	NA	4.00	3.00	5.00	4.00	4.00	5.00	6.00	6.00	8.00	10.00
319(1,O20)	TRT	TRT	0.882867	2.75	2.75	7	9.00	NA	4.00	3.00	5.00	5.00	4.00	5.00	7.00	6.00	7.00	11.00
320(1,P20)	TRT	TRT	0.901389	2.5	2.5	6	9.00	NA	4.00	3.00	5.00	5.00	4.00	5.00	6.00	7.00	7.00	10.00
321(1,A21)	TRT	TRT	0.96295	2.5	2.5	6	9.00	NA	4.00	4.00	5.00	5.00	5.00	5.00	6.00	6.00	7.00	10.00
322(1,B21)	TRT	TRT	0.804054	2.5	2.5	6	9.00	NA	4.00	4.00	5.00	6.00	4.00	5.00	5.00	6.00	7.00	10.00
323(1,C21)	TRT	TRT	0.900899	3.33333	3.33333	7	9.00	NA	3.00	4.00	5.00	4.00	4.00	5.00	5.00	6.00	7.00	10.00
324(1,D21)	TRT	TRT	0.887425	2.5	2.5	6	9.00	NA	4.00	4.00	5.00	5.00	4.00	5.00	6.00	6.00	6.00	10.00
325(1,E21)	TRT	TRT	0.901389	2.5	2.5	6	9.00	NA	4.00	3.00	5.00	5.00	4.00	5.00	6.00	6.00	8.00	10.00
326(1,F21)	TRT	TRT	0.969223	3.66667	3.66667	8	9.00	NA	3.00	4.00	5.00	5.00	5.00	5.00	5.50	6.00	7.00	11.00
327(1,G21)	TRT	TRT	0.934199	2.5	2.5	6	9.00	NA	4.00	4.00	4.00	4.00	4.00	5.00	6.00	7.00	7.00	10.00
328(1,H21)	TRT	TRT	0.897549	2.75	2.75	7	9.00	NA	4.00	4.00	5.00	5.00	4.00	5.00	6.00	7.00	7.00	11.00
